USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24003751102	8345620	951838	3.222	0.368	39.1925013	-76.5947761                                                                                                                                        
MD	24003751103	3014006	708927	1.164	0.274	39.1734342	-76.5928562                                                                                                                                        
MD	24003751200	24802510	95429	9.576	0.037	39.1924169	-76.6953868                                                                                                                                        
MD	24003751400	10907646	0	4.211	0.	39.1490812	-76.6739761                                                                                                                                               
MD	24003751500	12753524	0	4.924	0.	39.0922794	-76.8003271                                                                                                                                               
MD	24003751600	20048699	908201	7.741	0.351	38.9946575	-76.600476                                                                                                                                        
MD	24003751700	27736171	0	10.709	0.	39.0180009	-76.6333087                                                                                                                                              
MD	24003980000	13237773	1056	5.111	0.	39.1742906	-76.6715658                                                                                                                                            
MD	24003990000	0	307233675	0.	118.624	38.9489473	-76.4419058                                                                                                                                            
MD	24005400100	1874572	9219	0.724	0.004	39.2673208	-76.7073699                                                                                                                                          
MD	24005400200	923677	0	0.357	0.	39.2736802	-76.7127872                                                                                                                                                 
MD	24005400400	8965139	7438	3.461	0.003	39.2513184	-76.7293575                                                                                                                                          
MD	24005400500	5797294	0	2.238	0.	39.2543879	-76.7516832                                                                                                                                                
MD	24005400600	968869	0	0.374	0.	39.279055	-76.7183222                                                                                                                                                  
MD	24005400701	1186715	0	0.458	0.	39.2847069	-76.7267257                                                                                                                                                
MD	24005400702	702073	0	0.271	0.	39.2880154	-76.7166223                                                                                                                                                 
MD	24005400800	1472876	0	0.569	0.	39.2794434	-76.7353675                                                                                                                                                
MD	24005400900	1023192	0	0.395	0.	39.2786877	-76.7494396                                                                                                                                                
MD	24005401000	1355655	0	0.523	0.	39.2723514	-76.7444267                                                                                                                                                
MD	24005401101	2929636	0	1.131	0.	39.2981461	-76.7339812                                                                                                                                                
MD	24005401102	3464316	0	1.338	0.	39.3110803	-76.7306313                                                                                                                                                
MD	24005401200	1955197	0	0.755	0.	39.3179076	-76.7179575                                                                                                                                                
MD	24005401301	1155826	0	0.446	0.	39.2959405	-76.7218993                                                                                                                                                
MD	24005401302	593066	0	0.229	0.	39.2945952	-76.7157383                                                                                                                                                 
MD	24005401400	2789321	82236	1.077	0.032	39.2603202	-76.7733706                                                                                                                                         
MD	24005401503	6460971	103130	2.495	0.04	39.2777485	-76.7754851                                                                                                                                         
MD	24005401504	5680859	36704	2.193	0.014	39.2992831	-76.7676124                                                                                                                                         
MD	24005401505	2292137	0	0.885	0.	39.2949894	-76.7480081                                                                                                                                                
MD	24005401506	3528035	45365	1.362	0.018	39.3116085	-76.7803118                                                                                                                                         
MD	24005401507	2715583	0	1.048	0.	39.3133819	-76.7546838                                                                                                                                                
MD	24005402201	39090502	3389119	15.093	1.309	39.3801956	-76.867173                                                                                                                                      
MD	24005402202	20636671	252189	7.968	0.097	39.3270886	-76.8184311                                                                                                                                       
MD	24005402302	2901562	0	1.12	0.	39.3529065	-76.7771634                                                                                                                                                 
MD	24005402303	2862488	3368	1.105	0.001	39.3452152	-76.754598                                                                                                                                           
MD	24005402304	1540712	0	0.595	0.	39.3410651	-76.7389938                                                                                                                                                
MD	24005402305	1610323	0	0.622	0.	39.3677873	-76.7428975                                                                                                                                                
MD	24005402306	1249025	0	0.482	0.	39.3627619	-76.768278                                                                                                                                                 
