lat,lng,comment
39.541,-78.676,
39.541,-78.676,
39.542,-78.677,
39.542,-78.678,
39.543,-78.679,
39.544,-78.68,
39.544,-78.68,
39.544,-78.68,
39.544,-78.68,
39.544,-78.68,
39.544,-78.681,
39.545,-78.681,
39.545,-78.681,
39.545,-78.681,
39.546,-78.681,
39.546,-78.681,
39.546,-78.681,
39.546,-78.682,
39.546,-78.682,
39.547,-78.683,
39.547,-78.683,
39.548,-78.684,
39.548,-78.684,
39.549,-78.685,
39.549,-78.685,
39.549,-78.685,
39.549,-78.686,
39.55,-78.687,
39.55,-78.688,
39.551,-78.689,
39.551,-78.69,
39.551,-78.69,
39.551,-78.691,
39.551,-78.691,
39.551,-78.691,
39.552,-78.691,
39.552,-78.692,
39.553,-78.693,
39.554,-78.694,
39.555,-78.695,
39.555,-78.695,
39.555,-78.696,
39.563,-78.712,
39.563,-78.713,
39.563,-78.713,
39.563,-78.714,
39.564,-78.714,
39.564,-78.716,
39.564,-78.717,
39.564,-78.718,
39.564,-78.719,
39.564,-78.721,
39.564,-78.721,
39.564,-78.721,
39.564,-78.721,
39.564,-78.722,
39.564,-78.723,
39.564,-78.723,
39.564,-78.724,
39.564,-78.724,
39.565,-78.724,
39.566,-78.725,
39.566,-78.725,
39.566,-78.725,
39.567,-78.725,
39.567,-78.725,
39.567,-78.725,
39.567,-78.725,
39.568,-78.726,
39.569,-78.726,
39.569,-78.726,
39.57,-78.727,
39.571,-78.727,
39.571,-78.727,
39.572,-78.728,
39.572,-78.728,
39.573,-78.729,
39.573,-78.729,
39.573,-78.73,
39.574,-78.73,
39.574,-78.73,
39.574,-78.73,
39.574,-78.73,
39.575,-78.731,
39.575,-78.731,
39.576,-78.731,
39.577,-78.731,
39.578,-78.731,
39.579,-78.731,
39.581,-78.732,
39.582,-78.732,
39.582,-78.732,
39.583,-78.732,
39.584,-78.732,
39.584,-78.732,
39.584,-78.732,
39.585,-78.732,
39.585,-78.732,
39.586,-78.733,
39.587,-78.733,
39.587,-78.733,
39.587,-78.733,
39.587,-78.734,
39.587,-78.735,
39.587,-78.735,
39.587,-78.735,
39.587,-78.737,
39.587,-78.737,
39.587,-78.738,
39.587,-78.739,
39.587,-78.739,
39.587,-78.74,
39.587,-78.74,
39.586,-78.741,
39.586,-78.741,
39.586,-78.742,
39.586,-78.742,
39.586,-78.742,
39.585,-78.742,
39.585,-78.742,
39.584,-78.742,
39.584,-78.743,
39.584,-78.743,
39.584,-78.743,
39.583,-78.743,
39.583,-78.743,
39.583,-78.743,
39.582,-78.743,
39.582,-78.743,
39.581,-78.743,
39.581,-78.744,
39.581,-78.744,
39.581,-78.744,
39.58,-78.744,
39.58,-78.745,
39.58,-78.746,
39.58,-78.746,
39.58,-78.747,
39.58,-78.747,
39.581,-78.748,
39.581,-78.748,
39.582,-78.75,
39.582,-78.751,
39.582,-78.751,
39.582,-78.751,
39.582,-78.751,
39.582,-78.752,
39.582,-78.752,
39.582,-78.753,
39.582,-78.754,
39.582,-78.754,
39.581,-78.755,
39.581,-78.755,
39.581,-78.756,
39.581,-78.756,
39.581,-78.756,
39.581,-78.757,
39.582,-78.758,
39.582,-78.759,
39.583,-78.76,
39.584,-78.761,
39.584,-78.762,
39.585,-78.763,
39.586,-78.764,
39.587,-78.764,
39.598,-78.774,
39.598,-78.774,
39.599,-78.774,
39.599,-78.774,
39.6,-78.774,
39.6,-78.774,
39.601,-78.774,
39.602,-78.774,
39.602,-78.774,
39.603,-78.774,
39.603,-78.773,
39.604,-78.773,
39.604,-78.772,
39.605,-78.772,
39.605,-78.772,
39.605,-78.771,
39.606,-78.77,
39.606,-78.77,
39.606,-78.769,
39.607,-78.769,
39.607,-78.769,
39.607,-78.769,
39.608,-78.769,
39.608,-78.768,
39.608,-78.767,
39.609,-78.766,
39.609,-78.766,
39.609,-78.765,
39.609,-78.763,
39.61,-78.763,
39.61,-78.762,
